Point ID,n,h,is_dynamic,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,0.0001,True,yes,6,1.2043e-15,2.7377e-17,1.9108,0.00743
1,2,0.0001,True,yes,6,4.9937e-11,2.7272e-17,1.9274,0.0015546
2,2,0.0001,True,yes,6,5.2958e-14,2.7377e-17,1.9915,0.0013736
3,2,0.0001,True,yes,4,9.3479e-09,1.0786e-17,1.6608,0.00095912
4,2,0.0001,True,yes,8,5.7798e-13,2.7376e-17,1.5625,0.0019843
5,2,0.0001,True,yes,5,5.9106e-16,2.7377e-17,2.0023,0.001197
0,2,0.0001,False,no,200,1.3198e-07,3.4599e-18,1.8807,0.12075
1,2,0.0001,False,yes,7,2.8671e-11,8.5583e-16,1.8335,0.0017191
2,2,0.0001,False,yes,8,4.078e-14,8.5617e-16,1.8244,0.0018945
3,2,0.0001,False,yes,7,9.0089e-10,8.4531e-16,1.6185,0.0015885
4,2,0.0001,False,no,200,7.6462e-08,1.9109e-16,1.7584,0.093729
5,2,0.0001,False,no,200,1.2087e-08,7.0693e-16,1.7156,0.088762
0,100,0.0001,True,no,200,1.7904e-08,2.0505e-14,1.787,0.10669
1,100,0.0001,True,yes,8,1.2757e-13,2.0615e-14,1.5582,0.0025422
2,100,0.0001,True,yes,9,5.2275e-13,2.0615e-14,1.7008,0.0032234
3,100,0.0001,True,yes,8,6.787e-11,2.0614e-14,1.4871,0.0024715
4,100,0.0001,True,yes,9,5.0652e-12,2.0615e-14,1.5224,0.0027597
5,100,0.0001,True,yes,8,6.5541e-09,2.0548e-14,1.5094,0.0024522
0,100,0.0001,False,no,200,1.7905e-08,8.3814e-14,1.787,0.10637
1,100,0.0001,False,yes,9,8.0342e-10,8.415e-14,1.5721,0.0029865
2,100,0.0001,False,yes,10,2.1582e-11,8.4167e-14,1.45,0.0031348
3,100,0.0001,False,yes,9,7.3821e-14,8.4168e-14,1.5775,0.0027509
4,100,0.0001,False,yes,10,4.4826e-13,8.4168e-14,1.8225,0.0033033
5,100,0.0001,False,yes,8,1.654e-11,8.4167e-14,1.804,0.002601
0,1000,0.0001,True,no,200,1.7904e-08,2.1158e-13,2.5328,0.14827
1,1000,0.0001,True,yes,9,1.2867e-09,2.1169e-13,1.597,0.0046655
2,1000,0.0001,True,yes,13,4.8874e-12,2.117e-13,1.4442,0.0066049
3,1000,0.0001,True,yes,11,1.9498e-11,2.117e-13,1.5158,0.0053812
4,1000,0.0001,True,yes,9,6.1382e-12,2.117e-13,1.6211,0.0043786
5,1000,0.0001,True,yes,9,8.7506e-13,2.117e-13,1.5466,0.0043762
0,1000,0.0001,False,no,200,1.7905e-08,8.4813e-13,2.5328,0.14605
1,1000,0.0001,False,no,200,1.8875e-07,8.4581e-13,1.4431,0.14758
2,1000,0.0001,False,no,200,3.8188e-08,8.477e-13,1.549,0.16217
3,1000,0.0001,False,yes,10,2.5023e-13,8.4851e-13,1.5986,0.0053304
4,1000,0.0001,False,yes,10,1.4793e-09,8.4847e-13,1.5481,0.0048321
5,1000,0.0001,False,yes,9,4.8584e-11,8.485e-13,1.6442,0.0042612
0,10000,0.0001,True,no,200,1.79e-08,2.1223e-12,2.1436,0.65111
1,10000,0.0001,True,yes,12,2.234e-13,2.1225e-12,1.4666,0.034779
2,10000,0.0001,True,yes,10,8.0804e-09,2.1225e-12,1.4605,0.029497
3,10000,0.0001,True,no,200,3.1719e-08,2.1222e-12,1.4141,0.64114
4,10000,0.0001,True,yes,10,8.112e-09,2.1224e-12,1.4085,0.028507
5,10000,0.0001,True,no,200,2.6046e-08,2.1223e-12,1.4196,0.62226
0,10000,0.0001,False,no,200,1.7906e-08,8.4913e-12,2.459,0.68477
1,10000,0.0001,False,yes,10,7.3227e-12,8.4919e-12,1.5628,0.026618
2,10000,0.0001,False,no,200,3.1877e-07,8.4883e-12,1.4536,0.60579
3,10000,0.0001,False,yes,13,1.7797e-10,8.4919e-12,1.3779,0.033547
4,10000,0.0001,False,yes,11,1.1554e-10,8.4919e-12,1.4782,0.04528
5,10000,0.0001,False,yes,12,1.1086e-12,8.4919e-12,1.4985,0.02896
0,100000,0.0001,True,no,200,1.7904e-08,2.123e-11,2.1365,4.7765
1,100000,0.0001,True,no,200,1.52e-07,2.123e-11,1.2423,4.3221
2,100000,0.0001,True,yes,15,5.6529e-13,2.1231e-11,1.5764,0.31148
3,100000,0.0001,True,yes,13,3.9987e-12,2.1231e-11,1.525,0.29432
4,100000,0.0001,True,yes,14,1.4423e-09,2.1231e-11,1.4268,0.37368
5,100000,0.0001,True,yes,12,7.0582e-12,2.1231e-11,1.5132,0.31469
0,100000,0.0001,False,no,200,1.7915e-08,8.4923e-11,2.4605,4.6467
1,100000,0.0001,False,no,200,5.5886e-08,8.4924e-11,1.8914,4.3932
2,100000,0.0001,False,yes,14,1.0139e-11,8.4926e-11,1.8248,0.32802
3,100000,0.0001,False,no,200,1.2648e-08,8.4925e-11,1.4097,4.5622
4,100000,0.0001,False,yes,16,8.7393e-13,8.4926e-11,1.4782,0.31828
5,100000,0.0001,False,yes,16,8.6591e-13,8.4926e-11,1.4745,0.41304
0,2,1e-08,True,yes,6,1.5064e-15,9.8608e-32,1.9108,0.0036022
1,2,1e-08,True,yes,7,7.5696e-14,2.6193e-28,1.8206,0.0016713
2,2,1e-08,True,yes,7,1.7702e-13,1.4854e-27,1.7642,0.0018745
