Point ID,n,h,is_dynamic,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,0.0001,True,yes,5,1.3199e-07,8.4531e-16,1.8807,0.01342
1,2,0.0001,True,yes,4,7.1904e-07,2.4843e-14,1.6589,0.0064927
2,2,0.0001,True,yes,7,3.2403e-11,4.8855e-23,1.6849,0.011378
3,2,0.0001,True,yes,5,1.4522e-07,8.5215e-16,1.9451,0.0081467
4,2,0.0001,True,yes,6,1.2419e-11,7.0611e-24,1.9258,0.010423
5,2,0.0001,True,yes,6,9.8813e-08,4.0529e-16,1.801,0.0097001
0,2,0.0001,False,yes,5,1.3199e-07,8.4531e-16,1.8807,0.0083612
1,2,0.0001,False,yes,7,4.9487e-13,1.1973e-26,1.7557,0.011295
2,2,0.0001,False,yes,5,1.2705e-13,7.2134e-28,1.8928,0.0094184
3,2,0.0001,False,yes,6,1.7685e-08,1.529e-17,1.7721,0.00979
4,2,0.0001,False,yes,5,9.6721e-08,3.9398e-16,1.9432,0.0079843
5,2,0.0001,False,yes,6,5.8674e-13,1.5287e-26,1.8969,0.0098371
0,1000,0.0001,True,yes,5,1.7908e-08,1.548e-17,1.8487,0.011592
1,1000,0.0001,True,yes,9,7.0767e-11,1.7703e-22,1.5422,0.02577
2,1000,0.0001,True,yes,9,7.6847e-11,2.0358e-22,1.7354,0.0209
3,1000,0.0001,True,yes,10,4.6781e-11,8.2346e-23,1.6375,0.024655
4,1000,0.0001,True,yes,9,2.6125e-12,2.4487e-25,1.5679,0.024011
5,1000,0.0001,True,yes,12,6.9324e-07,1.8282e-14,1.3525,0.031147
0,1000,0.0001,False,yes,5,1.7908e-08,1.548e-17,1.8487,0.012193
1,1000,0.0001,False,yes,9,2.874e-12,2.891e-25,1.5672,0.025031
2,1000,0.0001,False,yes,10,1.4421e-08,8.1479e-18,1.3858,0.02356
3,1000,0.0001,False,yes,10,8.886e-10,2.8027e-20,1.5178,0.037261
4,1000,0.0001,False,yes,11,2.182e-08,1.6319e-17,1.3068,0.036526
5,1000,0.0001,False,yes,10,1.9895e-08,1.4635e-17,1.5281,0.027155
0,10000,0.0001,True,yes,5,1.7909e-08,1.5482e-17,1.9277,0.064332
1,10000,0.0001,True,yes,10,2.0208e-12,1.6069e-25,1.5708,0.10461
2,10000,0.0001,True,yes,10,3.5618e-07,4.6481e-15,1.4526,0.088184
3,10000,0.0001,True,yes,10,9.1209e-09,3.0334e-18,1.4615,0.088532
4,10000,0.0001,True,yes,11,2.0372e-13,1.5017e-27,1.542,0.099231
5,10000,0.0001,True,yes,7,1.9447e-08,1.624e-17,1.7519,0.088263
0,10000,0.0001,False,yes,5,1.7909e-08,1.5482e-17,1.9277,0.063009
