Point ID,n,h,is_dynamic,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,0.0001,True,yes,3,1.0917e-07,-1.4721,1.8208,0.00052154
1,2,0.0001,True,yes,4,2.572e-05,-1.4721,1.8829,0.00043475
2,2,0.0001,True,yes,4,6.8089e-10,-1.4721,2.4164,0.00038263
3,2,0.0001,True,yes,4,7.8749e-06,-1.4721,1.5286,0.00035058
4,2,0.0001,True,yes,4,1.9113e-05,-1.4721,1.3916,0.00039487
5,2,0.0001,True,yes,5,2.883e-09,-1.4721,2.3968,0.00041937
0,2,0.0001,False,yes,3,1.0915e-07,-1.4721,1.8208,0.00028442
1,2,0.0001,False,yes,4,1.7078e-09,-1.4721,1.7058,0.00035508
2,2,0.0001,False,yes,7,1.6166e-05,-1.4721,1.6317,0.00065004
3,2,0.0001,False,yes,5,2.8415e-07,-1.4721,2.0633,0.00046529
4,2,0.0001,False,yes,5,2.5431e-05,-1.4721,2.5047,0.00042104
5,2,0.0001,False,yes,6,1.6098e-10,-1.4721,2.5219,0.00053671
0,1000,0.0001,True,yes,4,2.6567e-06,-427.4,2.6656,0.00074488
1,1000,0.0001,True,yes,14,3.3573e-05,-427.4,0.59035,0.0027608
2,1000,0.0001,True,yes,11,2.2037e-06,-427.4,1.0815,0.0021474
3,1000,0.0001,True,yes,15,2.331e-06,-427.4,0.97698,0.0029237
4,1000,0.0001,True,yes,17,2.3546e-06,-427.4,1.1299,0.0035402
5,1000,0.0001,True,yes,13,2.2494e-06,-427.4,1.7674,0.0027685
0,1000,0.0001,False,yes,4,1.3538e-06,-427.4,2.6657,0.00093458
1,1000,0.0001,False,yes,11,3.8586e-06,-427.4,1.0433,0.0026283
2,1000,0.0001,False,yes,13,5.6827e-09,-427.4,0.79726,0.0026037
3,1000,0.0001,False,yes,17,6.3994e-09,-427.4,2.1165,0.0032644
4,1000,0.0001,False,yes,15,1.0553e-07,-427.4,1.4733,0.0027888
5,1000,0.0001,False,yes,13,9.9683e-09,-427.4,1.479,0.0024256
0,10000,0.0001,True,no,200,0.00056912,-4159.9,2.0254,0.78796
1,10000,0.0001,True,no,200,0.00057407,-4159.9,1.3048,1.1091
2,10000,0.0001,True,no,200,0.00054663,-4159.9,1.0203,1.8507
3,10000,0.0001,True,no,200,0.000551,-4159.9,1.5036,1.9351
4,10000,0.0001,True,no,200,0.0007046,-4159.9,1.4697,1.6802
5,10000,0.0001,True,no,200,0.00057932,-4159.9,1.0406,1.7781
0,10000,0.0001,False,yes,4,4.3488e-05,-4159.9,2.6796,0.0061349
1,10000,0.0001,False,yes,25,1.8916e-07,-4159.9,1.0513,0.045472
2,10000,0.0001,False,yes,32,1.9041e-07,-4159.9,0.80983,0.085499
3,10000,0.0001,False,yes,24,3.7708e-06,-4159.9,1.2367,0.026719
4,10000,0.0001,False,yes,30,2.1689e-07,-4159.9,0.99824,0.055323
5,10000,0.0001,False,yes,22,4.4126e-05,-4159.9,0.71839,0.041064
0,100000,0.0001,True,no,200,0.15386,-41444,1.5984,12.535
1,100000,0.0001,True,no,200,0.14987,-41444,0.74979,7.655
2,100000,0.0001,True,no,200,0.14207,-41444,0.81142,7.071
3,100000,0.0001,True,no,200,0.14977,-41444,0.59377,7.9829
4,100000,0.0001,True,no,200,0.14963,-41444,0.86934,7.5284
5,100000,0.0001,True,no,200,0.15144,-41444,0.73661,6.825
0,100000,0.0001,False,no,200,0.0010259,-41444,2.093,10.085
1,100000,0.0001,False,yes,31,6.0255e-06,-41444,0.79751,0.30422
2,100000,0.0001,False,yes,35,6.4785e-06,-41444,1.0886,0.32051
3,100000,0.0001,False,yes,33,6.2254e-06,-41444,0.94004,0.29684
4,100000,0.0001,False,yes,33,6.024e-06,-41444,0.6734,0.30247
5,100000,0.0001,False,yes,28,5.43e-05,-41444,0.80005,0.26141
0,2,1e-08,True,yes,3,1.2611e-07,-1.4721,1.8209,0.00036546
1,2,1e-08,True,yes,4,0,-1.4721,1.829,0.00035046
2,2,1e-08,True,yes,4,3.146e-06,-1.4721,1.3079,0.00037783
3,2,1e-08,True,yes,7,5.9864e-09,-1.4721,2.5508,0.00066325
4,2,1e-08,True,yes,3,1.1973e-08,-1.4721,1.7781,0.000281
5,2,1e-08,True,yes,5,2.0056e-07,-1.4721,2.038,0.00042617
0,2,1e-08,False,yes,3,1.1986e-07,-1.4721,1.8209,0.0002765
1,2,1e-08,False,yes,3,3.3422e-08,-1.4721,2.6531,0.00024929
2,2,1e-08,False,yes,5,1.1444e-08,-1.4721,1.9252,0.00049058
3,2,1e-08,False,yes,3,8.0758e-05,-1.4721,1.5242,0.00027121
4,2,1e-08,False,yes,4,1.3878e-08,-1.4721,2.5192,0.00032596
5,2,1e-08,False,yes,6,5.0848e-06,-1.4721,0.61,0.00049967
0,1000,1e-08,True,no,200,0.015762,-427.4,0.86712,0.045355
1,1000,1e-08,True,no,200,0.015179,-427.4,0.85188,0.044367
2,1000,1e-08,True,no,200,0.015015,-427.4,0.66464,0.068113
3,1000,1e-08,True,no,200,0.015482,-427.4,0.6441,0.064777
4,1000,1e-08,True,no,200,0.015852,-427.4,0.80819,0.04311
5,1000,1e-08,True,no,200,0.015998,-427.4,0.67958,0.043791
0,1000,1e-08,False,yes,4,5.8102e-05,-427.4,2.6657,0.00068125
1,1000,1e-08,False,yes,15,5.868e-05,-427.4,1.4309,0.0027835
2,1000,1e-08,False,yes,19,6.161e-05,-427.4,0.58267,0.0034406
3,1000,1e-08,False,yes,12,5.9411e-05,-427.4,1.7111,0.0021864
4,1000,1e-08,False,yes,13,6.075e-05,-427.4,1.1757,0.0023955
5,1000,1e-08,False,yes,14,5.8669e-05,-427.4,2.1695,0.0025404
0,10000,1e-08,True,no,200,5.1274,-4159.9,0.8941,0.2526
1,10000,1e-08,True,no,200,4.9464,-4159.9,0.95128,0.24133
2,10000,1e-08,True,no,200,4.9788,-4159.9,0.71353,0.25625
3,10000,1e-08,True,no,200,4.9554,-4159.9,0.60143,0.23545
4,10000,1e-08,True,no,200,4.9195,-4159.9,1.016,0.24194
5,10000,1e-08,True,no,200,4.9637,-4159.9,0.89899,0.26379
0,10000,1e-08,False,no,200,0.001038,-4159.9,0.79334,0.75234
1,10000,1e-08,False,no,200,0.0010278,-4159.9,1.1279,0.69032
2,10000,1e-08,False,no,200,0.0010308,-4159.9,1.0328,0.69778
3,10000,1e-08,False,no,200,0.0010264,-4159.9,1.3149,0.65871
4,10000,1e-08,False,no,200,0.0010087,-4159.9,0.88925,0.61771
5,10000,1e-08,False,no,200,0.0011031,-4159.9,0.6706,0.63295
0,100000,1e-08,True,no,200,1234.5,-41444,0.90475,2.252
1,100000,1e-08,True,no,200,1222.3,-41444,0.84774,2.1181
2,100000,1e-08,True,no,200,1242.9,-41444,0.77425,2.5007
3,100000,1e-08,True,no,200,1226.4,-41444,0.64618,2.2031
4,100000,1e-08,True,no,200,1223,-41444,0.84997,2.1587
5,100000,1e-08,True,no,200,1330.1,-41444,0.87726,2.3582
0,100000,1e-08,False,no,200,0.032267,-41444,1.0023,6.5715
1,100000,1e-08,False,no,200,0.03256,-41444,0.98245,5.4135
2,100000,1e-08,False,no,200,0.031273,-41444,0.90489,5.3131
3,100000,1e-08,False,no,200,0.032114,-41444,0.89546,5.7626
4,100000,1e-08,False,no,200,0.032456,-41444,0.95255,5.7593
5,100000,1e-08,False,no,200,0.031682,-41444,0.74154,5.2849
0,2,1e-12,True,yes,4,5.9863e-05,-1.4721,1.4489,0.00047862
1,2,1e-12,True,yes,5,6.698e-05,-1.4721,1.7911,0.00043104
2,2,1e-12,True,yes,4,8.255e-05,-1.4721,1.8562,0.00036429
3,2,1e-12,True,yes,6,0,-1.4721,1.6712,0.00053908
4,2,1e-12,True,yes,5,0,-1.4721,1.2724,0.00047667
5,2,1e-12,True,yes,7,5.9864e-05,-1.4721,2.1969,0.00076783
0,2,1e-12,False,yes,4,2.7756e-05,-1.4721,1.6886,0.00036533
1,2,1e-12,False,yes,5,0,-1.4721,1.9776,0.00043913
2,2,1e-12,False,yes,3,0,-1.4721,1.8557,0.00027421
3,2,1e-12,False,yes,4,0,-1.4721,1.612,0.00033471
4,2,1e-12,False,yes,6,0,-1.4721,1.4647,0.00047817
5,2,1e-12,False,yes,6,0,-1.4721,2.0892,0.00047025
0,1000,1e-12,True,no,200,132.04,-427.38,1.5219,0.055705
1,1000,1e-12,True,no,200,121.13,-427.34,0.79246,0.043993
2,1000,1e-12,True,no,200,124.45,-427.34,0.77967,0.044409
3,1000,1e-12,True,no,200,130.9,-427.35,1.0892,0.044328
4,1000,1e-12,True,no,200,112.98,-427.35,0.83162,0.046465
5,1000,1e-12,True,no,200,117.73,-427.35,0.75376,0.044628
0,1000,1e-12,False,no,200,0.41208,-427.4,0.95809,0.046753
1,1000,1e-12,False,no,200,0.40618,-427.4,0.8549,0.042676
2,1000,1e-12,False,no,200,0.40702,-427.4,1.0577,0.042235
3,1000,1e-12,False,no,200,0.41137,-427.4,0.84974,0.042152
4,1000,1e-12,False,no,200,0.40836,-427.4,1.0883,0.04266
5,1000,1e-12,False,no,200,0.42384,-427.4,0.61086,0.042363
0,10000,1e-12,True,no,200,4292.2,-4157.5,1.0445,0.47626
1,10000,1e-12,True,no,200,5012.4,-4151,1.2793,0.33899
