Point ID,n,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,yes,3,1.0769e-07,-1.4721,1.8209,0.00055213
1,2,yes,3,3.6175e-05,-1.4721,2.0383,0.00037729
2,2,yes,8,3.544e-07,-1.4721,1.7579,0.00099425
3,2,yes,3,1.3342e-06,-1.4721,1.8319,0.00037662
4,2,yes,4,6.2212e-09,-1.4721,2.0739,0.00050213
5,2,yes,5,8.7016e-08,-1.4721,1.7173,0.000597
0,1000,yes,4,4.9125e-09,-427.4,2.6657,0.00073513
1,1000,yes,16,5.6049e-09,-427.4,1.2388,0.0032375
2,1000,yes,14,3.4985e-06,-427.4,2.5735,0.0028318
3,1000,yes,12,2.012e-09,-427.4,1.5878,0.0023072
4,1000,yes,13,2.4273e-06,-427.4,1.6262,0.0028137
5,1000,yes,12,3.7558e-10,-427.4,1.6894,0.0023625
0,10000,yes,4,1.6737e-07,-4159.9,2.6796,0.0075013
1,10000,yes,33,4.1802e-10,-4159.9,1.0168,0.042186
2,10000,yes,27,1.3016e-10,-4159.9,0.98033,0.028253
3,10000,yes,22,1.0453e-10,-4159.9,1.1366,0.026025
4,10000,yes,25,8.7663e-11,-4159.9,1.2566,0.024941
5,10000,yes,29,5.4772e-11,-4159.9,0.99713,0.0343
0,100000,yes,4,5.3332e-06,-41444,2.6814,0.041554
1,100000,yes,29,2.3752e-07,-41444,0.7373,0.2463
2,100000,yes,39,6.7329e-05,-41444,0.60544,0.26126
3,100000,yes,33,2.4928e-10,-41444,0.93526,0.21643
4,100000,yes,36,1.807e-10,-41444,1.0631,0.23715
5,100000,yes,34,1.7264e-10,-41444,0.99451,0.24145
