Point ID,n,h,is_dynamic,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,0.0001,True,yes,3,1.3759e-07,-1.4721,2.2039,0.00043425
1,2,0.0001,True,yes,4,2.3452e-11,-1.4721,2.9416,0.00038592
2,2,0.0001,True,yes,5,1.3163e-07,-1.4721,1.6582,0.00047117
3,2,0.0001,True,yes,6,2.3575e-05,-1.4721,1.7808,0.00053733
4,2,0.0001,True,yes,3,4.0786e-05,-1.4721,1.8767,0.00028221
5,2,0.0001,True,yes,6,1.6708e-06,-1.4721,1.4681,0.00052192
0,2,0.0001,False,yes,3,1.3761e-07,-1.4721,2.2039,0.00028075
1,2,0.0001,False,yes,6,1.1113e-07,-1.4721,2.5426,0.000516
2,2,0.0001,False,yes,5,8.534e-05,-1.4721,1.7673,0.00044746
3,2,0.0001,False,yes,5,4.9854e-05,-1.4721,1.5331,0.00043467
4,2,0.0001,False,yes,3,5.9385e-05,-1.4721,1.8269,0.00038854
5,2,0.0001,False,yes,4,6.9162e-08,-1.4721,2.8916,0.00040729
0,100,0.0001,True,yes,4,6.4675e-11,-50,2.5769,0.00039604
1,100,0.0001,True,yes,8,1.2282e-08,-50,2.0096,0.00075379
2,100,0.0001,True,yes,10,4.302e-06,-50,1.0614,0.00091654
3,100,0.0001,True,yes,11,4.9666e-11,-50,2.6496,0.0010008
4,100,0.0001,True,yes,11,3.0846e-08,-50,2.0183,0.0010235
5,100,0.0001,True,yes,9,2.2329e-07,-50,1.3122,0.00082904
0,100,0.0001,False,yes,4,1.2943e-10,-50,2.5769,0.00042
1,100,0.0001,False,yes,10,4.0972e-10,-50,1.3834,0.00091929
2,100,0.0001,False,yes,10,9.0375e-12,-50,1.4249,0.00090971
3,100,0.0001,False,yes,10,3.0435e-12,-50,1.6671,0.0011655
4,100,0.0001,False,yes,7,3.5636e-05,-50,0.8277,0.00073525
5,100,0.0001,False,yes,9,1.671e-09,-50,1.7949,0.00085633
0,1000,0.0001,True,yes,4,4.811e-09,-427.4,2.665,0.00060067
