Point ID,n,h,is_dynamic,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,0.0001,True,yes,6,6.1502e-11,2.7248e-17,2.0989,0.002537
1,2,0.0001,True,yes,7,2.9802e-10,2.6753e-17,1.8938,0.0028767
2,2,0.0001,True,yes,7,8.389e-10,2.5631e-17,2.0121,0.0025645
3,2,0.0001,True,yes,6,6.6717e-07,1.9837e-14,1.3456,0.0022261
4,2,0.0001,True,yes,6,1.6686e-07,9.6197e-16,1.866,0.0020943
5,2,0.0001,True,yes,7,1.184e-10,2.7121e-17,2.0383,0.023649
0,2,0.0001,False,yes,6,6.1517e-11,8.5544e-16,2.0989,0.008733
1,2,0.0001,False,yes,6,4.2954e-12,8.5612e-16,1.5755,0.0062851
2,2,0.0001,False,yes,5,9.0705e-13,8.5616e-16,1.7997,0.0046355
3,2,0.0001,False,yes,6,5.106e-09,7.9411e-16,1.8138,0.0063791
4,2,0.0001,False,yes,7,5.3665e-10,8.4971e-16,1.9541,0.0037095
5,2,0.0001,False,yes,7,2.8238e-09,8.226e-16,1.0729,0.0051618
0,1000,0.0001,True,yes,11,1.6087e-07,2.1511e-13,1.6377,0.0093836
1,1000,0.0001,True,yes,15,2.0342e-09,2.1171e-13,1.2831,0.020392
2,1000,0.0001,True,yes,14,2.3875e-09,2.1171e-13,1.3871,0.032402
3,1000,0.0001,True,yes,12,3.2725e-07,2.176e-13,1.4228,0.01921
4,1000,0.0001,True,yes,14,3.8958e-09,2.1174e-13,1.5896,0.010413
5,1000,0.0001,True,yes,14,1.4113e-08,2.1158e-13,1.084,0.030987
0,1000,0.0001,False,yes,11,1.6087e-07,8.5447e-13,1.6377,0.007393
1,1000,0.0001,False,yes,15,8.3141e-10,8.4852e-13,1.4142,0.0097232
2,1000,0.0001,False,yes,14,6.4459e-08,8.5137e-13,1.17,0.008885
3,1000,0.0001,False,yes,15,9.5234e-10,8.4852e-13,1.3831,0.035072
4,1000,0.0001,False,yes,13,4.6844e-08,8.489e-13,1.5741,0.026289
5,1000,0.0001,False,yes,14,7.1307e-07,8.9068e-13,1.2158,0.014391
0,10000,0.0001,True,yes,12,1.6484e-08,2.1217e-12,0.84083,0.091108
1,10000,0.0001,True,yes,15,1.3942e-07,2.1175e-12,1.3489,0.071434
2,10000,0.0001,True,yes,15,1.3347e-09,2.1225e-12,1.3442,0.071788
3,10000,0.0001,True,yes,14,1.4736e-07,2.126e-12,1.2106,0.12247
4,10000,0.0001,True,yes,16,1.3192e-09,2.1226e-12,1.2163,0.12331
5,10000,0.0001,True,yes,14,1.5884e-07,2.1241e-12,1.5587,0.065239
0,10000,0.0001,False,yes,12,1.6484e-08,8.4903e-12,0.84083,0.088478
1,10000,0.0001,False,no,199,2.0429e-06,8.4307e-12,1.7153,1.9139
2,10000,0.0001,False,no,199,1.6062e-06,8.261e-12,1.361,2.9142
3,10000,0.0001,False,yes,15,1.5923e-07,8.4811e-12,1.3428,0.10577
4,10000,0.0001,False,yes,14,1.3429e-07,8.5016e-12,1.202,0.046278
5,10000,0.0001,False,no,199,3.0911e-06,8.3195e-12,1.7063,1.7163
0,100000,0.0001,True,no,199,3.677e-06,2.0401e-11,1.6066,12.729
1,100000,0.0001,True,yes,15,3.4735e-08,2.1231e-11,1.134,0.62131
2,100000,0.0001,True,yes,15,1.8463e-08,2.1231e-11,1.1307,0.71159
3,100000,0.0001,True,yes,15,3.3746e-08,2.123e-11,1.1367,0.76307
4,100000,0.0001,True,no,199,1.0327e-06,2.1213e-11,1.6152,10.962
5,100000,0.0001,True,yes,15,3.2685e-08,2.1231e-11,1.1367,0.60308
0,100000,0.0001,False,no,199,3.6772e-06,8.3039e-11,1.6066,10.765
1,100000,0.0001,False,yes,16,2.6302e-09,8.4926e-11,1.8463,0.56259
2,100000,0.0001,False,yes,16,8.9668e-07,8.4758e-11,1.3544,0.61047
3,100000,0.0001,False,yes,15,2.6205e-07,8.4917e-11,1.1607,0.59865
4,100000,0.0001,False,yes,16,6.073e-07,8.4919e-11,1.5305,0.59463
5,100000,0.0001,False,yes,16,9.997e-10,8.4926e-11,1.5144,0.63881
0,2,1e-08,True,yes,6,6.1565e-11,1.6655e-22,2.0989,0.0025751
1,2,1e-08,True,yes,7,2.1711e-08,2.0303e-17,1.8585,0.0028712
2,2,1e-08,True,yes,6,1.9234e-10,1.6956e-21,1.3745,0.0024657
3,2,1e-08,True,yes,6,2.3787e-09,2.612e-19,1.346,0.0024053
4,2,1e-08,True,yes,6,2.9104e-07,3.8817e-15,2.1075,0.0024207
5,2,1e-08,True,yes,6,1.2402e-12,6.9675e-26,2.047,0.0024417
0,2,1e-08,False,yes,6,6.1748e-11,1.6743e-22,2.0989,0.0023151
1,2,1e-08,False,yes,7,7.5567e-11,2.5179e-22,2.4508,0.0026155
2,2,1e-08,False,yes,5,4.3354e-07,9.1015e-15,1.4594,0.0019862
3,2,1e-08,False,yes,6,1.7121e-07,1.3153e-15,1.9729,0.0022047
4,2,1e-08,False,yes,7,1.9639e-12,1.8486e-25,1.863,0.0026956
5,2,1e-08,False,yes,7,4.1027e-13,7.4715e-27,2.0366,0.0026246
0,1000,1e-08,True,yes,11,1.6087e-07,5.5814e-16,1.6377,0.0083539
1,1000,1e-08,True,yes,13,2.8098e-07,1.3673e-15,1.4416,0.0095259
2,1000,1e-08,True,yes,15,2.5029e-09,1.528e-19,1.2547,0.011766
3,1000,1e-08,True,yes,13,1.0264e-07,2.3404e-16,1.0478,0.018246
4,1000,1e-08,True,yes,15,1.1755e-09,2.4528e-20,1.3746,0.018977
5,1000,1e-08,True,yes,13,2.1584e-08,8.961e-18,1.4451,0.0090031
0,1000,1e-08,False,yes,11,1.6087e-07,5.5814e-16,1.6378,0.0073515
1,1000,1e-08,False,yes,15,9.078e-10,1.6378e-20,1.3591,0.010971
2,1000,1e-08,False,yes,15,9.1855e-10,1.6019e-20,1.357,0.010235
3,1000,1e-08,False,yes,15,1.3083e-09,2.837e-20,1.3935,0.011152
4,1000,1e-08,False,yes,14,5.4091e-08,6.1802e-17,1.1601,0.009653
5,1000,1e-08,False,yes,14,6.6403e-08,9.0321e-17,1.1514,0.0095458
0,10000,1e-08,True,yes,12,1.6484e-08,5.8023e-18,0.84083,0.078069
1,10000,1e-08,True,yes,14,8.0746e-08,1.4588e-16,1.588,0.10907
2,10000,1e-08,True,yes,14,1.3654e-07,4.2974e-16,1.2294,0.083037
3,10000,1e-08,True,yes,14,1.3187e-07,3.831e-16,1.5437,0.10373
4,10000,1e-08,True,yes,16,9.9297e-10,1.7593e-20,1.3262,0.14785
5,10000,1e-08,True,yes,16,1.0667e-09,1.9966e-20,1.3251,0.11232
0,10000,1e-08,False,yes,12,1.6484e-08,5.8023e-18,0.84083,0.11624
1,10000,1e-08,False,yes,15,2.7007e-09,1.4533e-19,1.3536,0.12956
2,10000,1e-08,False,yes,14,1.4903e-07,4.8873e-16,1.5455,0.1376
3,10000,1e-08,False,yes,15,3.286e-09,2.163e-19,1.6403,0.088623
4,10000,1e-08,False,yes,14,1.5738e-07,5.7995e-16,1.235,0.13482
