Point ID,n,h,is_dynamic,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,0.0001,True,yes,6,6.1676e-11,1.6702e-22,2.0989,0.0072201
1,2,0.0001,True,yes,7,2.9841e-10,3.9384e-21,1.8938,0.0080875
2,2,0.0001,True,yes,7,8.3957e-10,3.1346e-20,2.0121,0.007681
3,2,0.0001,True,yes,6,6.6717e-07,2.1313e-14,1.3456,0.0069595
4,2,0.0001,True,yes,6,1.6687e-07,1.3035e-15,1.866,0.006769
5,2,0.0001,True,yes,7,1.1865e-10,6.4425e-22,2.0383,0.0075896
0,2,0.0001,False,yes,6,6.1676e-11,1.6702e-22,2.0989,0.0068816
1,2,0.0001,False,yes,6,4.3381e-12,8.6372e-25,1.5755,0.0066593
2,2,0.0001,False,yes,5,9.27e-13,4.1827e-26,1.7997,0.0057372
3,2,0.0001,False,yes,6,5.1075e-09,1.2004e-18,1.8138,0.00668
4,2,0.0001,False,yes,7,5.3712e-10,1.2795e-20,1.9541,0.0076437
5,2,0.0001,False,yes,7,2.8248e-09,3.517e-19,1.0729,0.0079915
0,100,0.0001,True,yes,10,4.8056e-07,5.1171e-15,2.2617,0.01216
1,100,0.0001,True,yes,13,3.2381e-08,1.7392e-17,1.4117,0.01546
2,100,0.0001,True,yes,13,1.6058e-09,5.4561e-20,1.1462,0.015223
3,100,0.0001,True,yes,13,1.6475e-09,5.5542e-20,1.4398,0.015222
4,100,0.0001,True,yes,11,3.127e-07,2.1913e-15,1.4923,0.013187
5,100,0.0001,True,yes,14,1.1557e-07,2.1374e-16,1.5883,0.016407
0,100,0.0001,False,yes,10,4.8056e-07,5.1171e-15,2.2617,0.011762
1,100,0.0001,False,yes,13,1.071e-07,2.4592e-16,1.6137,0.015164
2,100,0.0001,False,yes,13,3.2282e-07,1.5691e-15,2.0535,0.015152
3,100,0.0001,False,yes,13,1.1826e-08,3.498e-18,1.354,0.015654
4,100,0.0001,False,yes,13,1.7615e-07,7.3586e-16,1.3276,0.01555
5,100,0.0001,False,yes,14,1.2724e-07,2.5728e-16,1.3821,0.016697
0,1000,0.0001,True,yes,11,1.6087e-07,5.5814e-16,1.6378,0.018523
1,1000,0.0001,True,yes,14,2.3875e-09,1.3398e-19,1.3871,0.023235
2,1000,0.0001,True,yes,12,3.2725e-07,2.0823e-15,1.4228,0.019783
3,1000,0.0001,True,yes,14,3.8958e-09,3.0411e-19,1.5896,0.023751
4,1000,0.0001,True,yes,14,1.4113e-08,2.9207e-18,1.084,0.023362
5,1000,0.0001,True,yes,15,8.3141e-10,1.1858e-20,1.4142,0.02505
0,1000,0.0001,False,yes,11,1.6087e-07,5.5814e-16,1.6378,0.018387
1,1000,0.0001,False,yes,14,6.4459e-08,9.7389e-17,1.17,0.023518
2,1000,0.0001,False,yes,15,9.5234e-10,1.5101e-20,1.3831,0.025344
3,1000,0.0001,False,yes,13,4.6844e-08,4.4508e-17,1.5741,0.021834
4,1000,0.0001,False,yes,14,7.1307e-07,9.0318e-15,1.2158,0.023371
5,1000,0.0001,False,yes,13,1.5945e-07,5.3042e-16,1.5039,0.021605
0,10000,0.0001,True,yes,12,1.6484e-08,5.8023e-18,0.84083,0.065611
1,10000,0.0001,True,yes,15,4.371e-09,3.505e-19,1.6101,0.080373
2,10000,0.0001,True,yes,14,1.8646e-07,7.6199e-16,1.2226,0.076351
3,10000,0.0001,True,yes,14,1.411e-07,4.2699e-16,1.2036,0.078611
4,10000,0.0001,True,yes,16,1.0572e-07,2.9106e-16,1.1955,0.087448
5,10000,0.0001,True,yes,15,2.5605e-09,1.2928e-19,1.6725,0.081141
0,10000,0.0001,False,yes,12,1.6484e-08,5.8023e-18,0.84083,0.065054
1,10000,0.0001,False,yes,14,1.6332e-07,5.7589e-16,1.5295,0.080202
2,10000,0.0001,False,yes,15,2.057e-07,8.4038e-16,1.2813,0.082511
3,10000,0.0001,False,yes,15,3.51e-09,2.3799e-19,1.6094,0.09905
4,10000,0.0001,False,yes,14,1.4865e-07,4.6189e-16,1.1952,0.077134
