Point ID,n,h,is_dynamic,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,0.0001,True,yes,4,9.8986e-11,-1.4721,2.4353,0.0012201
1,2,0.0001,True,yes,4,3.6812e-09,-1.4721,2.8806,0.00054687
2,2,0.0001,True,yes,4,2.7148e-09,-1.4721,2.4385,0.00048133
3,2,0.0001,True,yes,4,1.7796e-10,-1.4721,1.8771,0.00045308
4,2,0.0001,True,yes,4,9.718e-06,-1.4721,2.0458,0.00044183
5,2,0.0001,True,yes,4,4.9359e-07,-1.4721,2.5875,0.0023742
0,2,0.0001,False,yes,4,2.498e-12,-1.4721,2.4352,0.00049408
1,2,0.0001,False,yes,4,6.5354e-10,-1.4721,2.1056,0.00044179
2,2,0.0001,False,yes,6,5.324e-09,-1.4721,2.7353,0.00063783
3,2,0.0001,False,yes,4,1.0236e-11,-1.4721,2.0742,0.00042512
4,2,0.0001,False,yes,4,4.9421e-10,-1.4721,3.0905,0.00044667
5,2,0.0001,False,yes,5,1.4725e-08,-1.4721,2.4228,0.00054667
0,1000,0.0001,True,yes,20,4.5163e-05,-427.4,1.4952,0.0071813
1,1000,0.0001,True,yes,20,7.6525e-06,-427.4,1.2907,0.0066123
2,1000,0.0001,True,yes,22,7.1119e-05,-427.4,0.79333,0.0069438
3,1000,0.0001,True,yes,21,5.0322e-05,-427.4,1.326,0.0064388
4,1000,0.0001,True,yes,20,5.7469e-06,-427.4,1.3899,0.0063251
5,1000,0.0001,True,yes,20,5.8796e-05,-427.4,1.5205,0.0061685
0,1000,0.0001,False,yes,20,3.9597e-05,-427.4,1.5495,0.0074235
1,1000,0.0001,False,yes,21,1.6754e-06,-427.4,1.2086,0.0068285
2,1000,0.0001,False,yes,25,1.2961e-05,-427.4,1.6468,0.0072937
3,1000,0.0001,False,yes,22,6.2812e-05,-427.4,0.48949,0.0066464
4,1000,0.0001,False,yes,18,9.3364e-05,-427.4,1.0258,0.0053499
5,1000,0.0001,False,yes,24,1.5222e-05,-427.4,0.98394,0.0070241
0,10000,0.0001,True,no,199,0.0005834,-4159.9,1.7958,0.88601
1,10000,0.0001,True,no,199,0.00041446,-4159.9,1.4544,1.9871
2,10000,0.0001,True,no,199,0.00056897,-4159.9,1.7314,1.7291
3,10000,0.0001,True,no,199,0.000504,-4159.9,1.9545,1.8508
4,10000,0.0001,True,no,199,0.00054376,-4159.9,1.5557,2.7616
5,10000,0.0001,True,no,199,0.00066276,-4159.9,1.6533,1.3952
0,10000,0.0001,False,yes,23,1.4051e-05,-4159.9,1.6433,0.10919
1,10000,0.0001,False,yes,30,4.5917e-05,-4159.9,1.7476,0.071145
2,10000,0.0001,False,yes,36,7.1413e-05,-4159.9,1.6343,0.15989
3,10000,0.0001,False,yes,34,3.3741e-06,-4159.9,2.1701,0.14494
4,10000,0.0001,False,yes,25,8.7756e-06,-4159.9,1.5208,0.10628
5,10000,0.0001,False,yes,28,6.9518e-05,-4159.9,1.7257,0.088553
0,100000,0.0001,True,no,199,0.23255,-41444,1.193,4.3014
1,100000,0.0001,True,no,199,0.23132,-41444,1.3897,3.7568
2,100000,0.0001,True,no,199,0.23112,-41444,1.1133,3.245
3,100000,0.0001,True,no,199,0.23526,-41444,1.1445,3.1701
4,100000,0.0001,True,no,199,0.22981,-41444,1.1431,3.1555
5,100000,0.0001,True,no,199,0.23132,-41444,1.008,3.1121
0,100000,0.0001,False,no,199,0.00011854,-41444,1.1746,28.702
1,100000,0.0001,False,no,199,0.00017636,-41444,1.3947,18.561
2,100000,0.0001,False,yes,34,2.9542e-05,-41444,1.2293,0.96711
3,100000,0.0001,False,yes,33,5.4215e-05,-41444,1.6405,0.96195
4,100000,0.0001,False,no,199,0.00052197,-41444,1.0787,16.265
5,100000,0.0001,False,no,199,0.00019162,-41444,1.4728,13.949
0,2,1e-08,True,yes,4,0,-1.4721,2.4353,0.00049763
1,2,1e-08,True,yes,4,5.9864e-09,-1.4721,1.8821,0.00044287
2,2,1e-08,True,yes,5,1.21e-05,-1.4721,1.5943,0.00054546
3,2,1e-08,True,yes,5,1.1193e-06,-1.4721,1.8434,0.00050512
4,2,1e-08,True,yes,3,9.5096e-07,-1.4721,1.9634,0.000319
5,2,1e-08,True,yes,4,3.5918e-08,-1.4721,3.2278,0.00041108
0,2,1e-08,False,yes,4,2.6185e-08,-1.4721,2.4353,0.00040225
1,2,1e-08,False,yes,4,1.8036e-06,-1.4721,2.7951,0.00041167
2,2,1e-08,False,yes,4,8.3267e-09,-1.4721,2.1075,0.00040479
3,2,1e-08,False,yes,4,1.1444e-08,-1.4721,2.6016,0.00040171
4,2,1e-08,False,yes,3,7.17e-05,-1.4721,2.2026,0.00033154
5,2,1e-08,False,yes,3,5.0657e-05,-1.4721,2.0545,0.00032242
0,1000,1e-08,True,no,199,0.015587,-427.4,1.0714,0.051012
1,1000,1e-08,True,no,199,0.015903,-427.4,0.97613,0.050147
2,1000,1e-08,True,no,199,0.016251,-427.4,1.0461,0.048173
3,1000,1e-08,True,no,199,0.015979,-427.4,0.77842,0.050195
4,1000,1e-08,True,no,199,0.015922,-427.4,0.6567,0.050877
5,1000,1e-08,True,no,199,0.01613,-427.4,0.65392,0.048652
0,1000,1e-08,False,yes,18,7.047e-05,-427.4,1.4066,0.0064661
1,1000,1e-08,False,yes,24,6.0193e-05,-427.4,1.4193,0.0073214
2,1000,1e-08,False,yes,21,6.044e-05,-427.4,1.9608,0.0059638
3,1000,1e-08,False,yes,20,5.8328e-05,-427.4,1.905,0.005934
4,1000,1e-08,False,yes,20,6.8308e-05,-427.4,0.93993,0.0057594
5,1000,1e-08,False,yes,21,8.9693e-05,-427.4,1.2528,0.0058891
0,10000,1e-08,True,no,199,5.9995,-4159.9,1.0659,0.19872
1,10000,1e-08,True,no,199,5.9072,-4159.9,1.009,0.2019
2,10000,1e-08,True,no,199,7.1045,-4159.8,1.1826,0.20121
3,10000,1e-08,True,no,199,5.4066,-4159.9,1.244,0.28513
4,10000,1e-08,True,no,199,7.5566,-4159.8,1.2684,0.2481
5,10000,1e-08,True,no,199,6.9307,-4159.9,1.2826,0.21195
0,10000,1e-08,False,no,199,0.0010308,-4159.9,1.4078,0.81243
1,10000,1e-08,False,no,199,0.0010687,-4159.9,1.4735,0.87508
2,10000,1e-08,False,no,199,0.0010138,-4159.9,0.89936,0.81644
3,10000,1e-08,False,no,199,0.0010654,-4159.9,1.5798,0.85208
4,10000,1e-08,False,no,199,0.00099258,-4159.9,1.2172,0.8212
5,10000,1e-08,False,no,199,0.0010179,-4159.9,1.1416,0.87789
0,100000,1e-08,True,no,199,1354.5,-40799,1.1825,1.8968
1,100000,1e-08,True,no,199,1230.3,-41085,0.90351,1.954
2,100000,1e-08,True,no,199,1351.4,-40674,1.169,1.994
3,100000,1e-08,True,no,199,1335.9,-41008,1.0147,1.9636
4,100000,1e-08,True,no,199,1301.3,-41176,1.0015,1.9279
5,100000,1e-08,True,no,199,1217,-41138,0.93229,2.0243
0,100000,1e-08,False,no,199,0.031871,-41444,0.83663,5.5762
1,100000,1e-08,False,no,199,0.031666,-41444,0.91595,5.8694
2,100000,1e-08,False,no,199,0.032794,-41444,0.75892,5.1205
3,100000,1e-08,False,no,199,0.032278,-41444,0.81361,5.6885
4,100000,1e-08,False,no,199,0.032297,-41444,1.0642,5.1649
5,100000,1e-08,False,no,199,0.032691,-41444,0.73384,5.298
0,2,1e-12,True,yes,4,5.9861e-05,-1.4721,2.3592,0.00050342
1,2,1e-12,True,yes,5,6.1722e-05,-1.4721,1.8771,0.00053246
2,2,1e-12,True,yes,8,0,-1.4721,2.1101,0.000821
3,2,1e-12,True,yes,6,5.9865e-05,-1.4721,1.7787,0.00061129
4,2,1e-12,True,yes,5,9.5388e-06,-1.4721,1.4109,0.00053979
5,2,1e-12,True,yes,4,5.9864e-05,-1.4721,2.5358,0.00043271
0,2,1e-12,False,yes,4,2.7756e-05,-1.4721,2.527,0.00041375
1,2,1e-12,False,yes,7,0,-1.4721,2.5054,0.00071496
2,2,1e-12,False,yes,6,0,-1.4721,1.7077,0.00064575
3,2,1e-12,False,yes,4,2.7756e-05,-1.4721,2.2403,0.00040467
4,2,1e-12,False,yes,6,0,-1.4721,1.4774,0.00060258
5,2,1e-12,False,yes,6,0,-1.4721,2.0695,0.00059363
0,1000,1e-12,True,no,199,116.86,-405.48,1.0813,0.04251
1,1000,1e-12,True,no,199,106.4,-405.86,0.87028,0.042115
2,1000,1e-12,True,no,199,118.37,-402.34,0.94443,0.042911
3,1000,1e-12,True,no,199,112.92,-398.38,0.71671,0.042804
4,1000,1e-12,True,no,199,132.66,-403.98,1.0276,0.043464
5,1000,1e-12,True,no,199,138.91,-403.98,1.5603,0.042793
0,1000,1e-12,False,no,199,0.41257,-427.4,1.1272,0.041186
1,1000,1e-12,False,no,199,0.44174,-427.4,1.1534,0.038332
2,1000,1e-12,False,no,199,0.42899,-427.4,0.92015,0.041542
3,1000,1e-12,False,no,199,0.43722,-427.4,1.0444,0.038642
4,1000,1e-12,False,no,199,0.44735,-427.4,1.1194,0.038218
5,1000,1e-12,False,no,199,0.43577,-427.4,0.95897,0.038755
0,10000,1e-12,True,no,199,4009.7,-2798.6,1.0582,0.29867
1,10000,1e-12,True,no,199,3997.3,-2537.2,1.2501,0.289
2,10000,1e-12,True,no,199,3681.4,-2722.9,1.1199,0.23861
3,10000,1e-12,True,no,199,4183.1,-2628.5,1.2942,0.27959
4,10000,1e-12,True,no,199,4562.4,-2674.7,1.0638,0.23834
5,10000,1e-12,True,no,199,3568.6,-2325.9,1.3922,0.28418
0,10000,1e-12,False,no,199,15.053,-4159.6,1.0336,0.23159
1,10000,1e-12,False,no,199,18.559,-4159.6,1.0804,0.22639
2,10000,1e-12,False,no,199,18.98,-4154.5,1.0621,0.19503
3,10000,1e-12,False,no,199,15.067,-4155.9,0.95748,0.21896
4,10000,1e-12,False,no,199,18.94,-4158.4,1.0473,0.19324
5,10000,1e-12,False,no,199,18.807,-4158,1.3086,0.19435
0,100000,1e-12,True,no,199,1.3053e+05,99104,0.75063,2.1436
1,100000,1e-12,True,no,199,1.2492e+05,1.2115e+05,1.0196,2.2422
2,100000,1e-12,True,no,199,1.2619e+05,1.1632e+05,1.0193,2.1091
3,100000,1e-12,True,no,199,1.1882e+05,1.2837e+05,0.96345,2.1342
4,100000,1e-12,True,no,199,1.2249e+05,2.3046e+05,1.2422,2.1981
5,100000,1e-12,True,no,199,1.5611e+05,1.2953e+05,1.0612,2.1869
0,100000,1e-12,False,no,199,603.75,-41258,1.0836,1.7349
1,100000,1e-12,False,no,199,595.4,-41329,0.94394,1.7669
2,100000,1e-12,False,no,199,598.34,-41336,1.0215,1.8086
3,100000,1e-12,False,no,199,591.66,-41334,0.98174,1.7782
4,100000,1e-12,False,no,199,595.66,-41306,1.2217,1.7854
5,100000,1e-12,False,no,199,594.68,-41347,0.99257,1.819
