Point ID,n,h,is_dynamic,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,0.0001,True,yes,4,1.2612e-12,-1.4721,2.4352,0.00099208
1,2,0.0001,True,yes,4,4.6195e-09,-1.4721,2.8806,0.00063508
2,2,0.0001,True,yes,4,7.1419e-10,-1.4721,2.4385,0.00059812
3,2,0.0001,True,yes,4,3.4531e-11,-1.4721,1.8772,0.00056842
4,2,0.0001,True,yes,4,9.7796e-06,-1.4721,2.0458,0.000568
5,2,0.0001,True,yes,4,4.7948e-07,-1.4721,2.5875,0.00057546
0,2,0.0001,False,yes,4,1.485e-12,-1.4721,2.4352,0.00057154
1,2,0.0001,False,yes,4,7.6832e-10,-1.4721,2.1056,0.00057471
2,2,0.0001,False,yes,6,6.372e-09,-1.4721,2.7353,0.00083196
3,2,0.0001,False,yes,4,2.8056e-13,-1.4721,2.0744,0.00055708
4,2,0.0001,False,yes,4,3.6669e-12,-1.4721,3.0905,0.00058796
5,2,0.0001,False,yes,5,2.3036e-08,-1.4721,2.4228,0.00071233
0,100,0.0001,True,yes,15,1.1355e-06,-50,1.458,0.0026401
1,100,0.0001,True,yes,17,7.6573e-06,-50,1.5222,0.0031664
2,100,0.0001,True,yes,14,4.6868e-05,-50,1.4009,0.0023844
3,100,0.0001,True,yes,18,5.4953e-05,-50,1.8944,0.0032375
4,100,0.0001,True,yes,15,9.897e-06,-50,1.5442,0.0026528
5,100,0.0001,True,yes,19,1.2108e-06,-50,1.3819,0.003296
0,100,0.0001,False,yes,15,1.1355e-06,-50,1.458,0.0026113
1,100,0.0001,False,yes,15,8.8874e-05,-50,0.82044,0.0024457
2,100,0.0001,False,yes,16,1.0865e-06,-50,1.4396,0.0026316
3,100,0.0001,False,yes,19,3.8285e-05,-50,1.2488,0.0033625
4,100,0.0001,False,yes,13,4.0345e-05,-50,0.88524,0.0021933
5,100,0.0001,False,yes,19,6.6194e-05,-50,1.5411,0.0031216
0,1000,0.0001,True,yes,18,8.3167e-05,-427.4,1.5218,0.007893
1,1000,0.0001,True,yes,22,8.2017e-06,-427.4,1.1909,0.0075905
2,1000,0.0001,True,yes,21,4.7142e-05,-427.4,1.3276,0.0065453
3,1000,0.0001,True,yes,20,4.0799e-06,-427.4,1.443,0.0065162
4,1000,0.0001,True,yes,20,5.9217e-05,-427.4,1.5213,0.0064326
