Point ID,n,h,is_dynamic,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,0.0001,True,yes,6,1.2043e-15,2.7377e-17,1.9108,0.004089
1,2,0.0001,True,yes,6,4.9937e-11,2.7272e-17,1.9274,0.001556
2,2,0.0001,True,yes,6,5.2958e-14,2.7377e-17,1.9915,0.0013806
3,2,0.0001,True,yes,4,9.3479e-09,1.0786e-17,1.6608,0.00094333
4,2,0.0001,True,yes,8,5.7798e-13,2.7376e-17,1.7581,0.0018577
5,2,0.0001,True,yes,5,5.9106e-16,2.7377e-17,2.0023,0.0011438
0,2,0.0001,False,no,200,1.3198e-07,3.4599e-18,2.0134,0.11909
1,2,0.0001,False,yes,7,2.8671e-11,8.5583e-16,1.8335,0.0016842
2,2,0.0001,False,yes,8,4.078e-14,8.5617e-16,1.8244,0.0018606
3,2,0.0001,False,yes,7,9.0089e-10,8.4531e-16,1.6185,0.0015866
4,2,0.0001,False,no,200,7.6462e-08,1.9109e-16,2.3206,0.092734
5,2,0.0001,False,no,200,1.2087e-08,7.0693e-16,2.0721,0.1015
0,100,0.0001,True,no,200,1.7904e-08,2.0505e-14,2.1005,0.10546
1,100,0.0001,True,yes,8,1.2757e-13,2.0615e-14,1.6943,0.0025288
2,100,0.0001,True,yes,9,5.2275e-13,2.0615e-14,1.7008,0.0029618
3,100,0.0001,True,yes,8,6.787e-11,2.0614e-14,1.6472,0.0024637
4,100,0.0001,True,yes,9,5.0652e-12,2.0615e-14,1.6419,0.003021
5,100,0.0001,True,yes,8,6.5541e-09,2.0548e-14,1.5477,0.0024705
0,100,0.0001,False,no,200,1.7905e-08,8.3814e-14,2.1005,0.10478
1,100,0.0001,False,yes,9,8.0342e-10,8.415e-14,1.6197,0.002859
2,100,0.0001,False,yes,10,2.1582e-11,8.4167e-14,1.6663,0.0030767
3,100,0.0001,False,yes,9,7.3821e-14,8.4168e-14,1.6812,0.0028444
4,100,0.0001,False,yes,10,4.4826e-13,8.4168e-14,1.7391,0.0033757
