Point ID,n,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,yes,6,2.6124e-15,2.4652e-31,1.9108,0.002795
1,2,yes,5,6.3949e-09,1.7103e-18,1.8168,0.002228
2,2,yes,7,1.5247e-12,1.0948e-25,1.7308,0.0029238
3,2,yes,6,7.21e-13,2.3898e-26,1.9794,0.0024345
4,2,yes,7,9.11e-10,3.8716e-20,1.6371,0.0027966
5,2,yes,6,9.9181e-10,4.3846e-20,1.8151,0.0025418
0,100,yes,6,2.0008e-14,4.8071e-30,1.8211,0.0025992
1,100,yes,9,1.9108e-14,4.2155e-30,1.7075,0.003904
2,100,yes,8,8.6764e-10,3.4302e-20,0.97902,0.0037112
3,100,yes,9,5.4197e-12,1.0042e-24,1.6386,0.0039334
4,100,yes,8,2.5527e-11,2.2666e-23,1.6508,0.0040028
5,100,yes,9,2.1047e-13,1.5915e-27,1.6673,0.0040777
0,1000,yes,6,2.0008e-14,4.8071e-30,1.8161,0.0039625
1,1000,yes,10,9.4479e-14,3.1397e-28,1.6582,0.0066388
2,1000,yes,9,4.2337e-10,6.2491e-21,1.5677,0.005656
3,1000,yes,11,5.4797e-10,1.1042e-20,1.5393,0.0071156
4,1000,yes,10,1.8948e-11,1.368e-23,1.6143,0.0063668
5,1000,yes,10,4.0788e-14,2.0424e-29,1.6733,0.0063562
0,10000,yes,6,2.0008e-14,4.8071e-30,1.8311,0.013377
1,10000,yes,10,8.5301e-10,2.7557e-20,1.4574,0.025875
2,10000,yes,10,2.4556e-13,1.939e-27,1.5703,0.023937
3,10000,yes,9,9.0942e-10,3.0108e-20,1.5522,0.020528
4,10000,yes,8,7.3872e-12,2.2084e-24,1.7914,0.01864
5,10000,yes,11,2.2083e-14,5.3125e-30,1.5863,0.024578
0,100000,yes,6,2.0008e-14,4.8071e-30,1.8647,0.12648
1,100000,yes,8,8.1236e-11,2.6174e-22,1.7602,0.21451
2,100000,yes,13,2.5125e-14,8.4556e-30,1.7785,0.28278
3,100000,yes,12,2.5963e-09,2.578e-19,1.6208,0.28386
4,100000,yes,12,5.7052e-12,1.234e-24,1.7146,0.26942
5,100000,yes,10,7.1727e-13,1.9896e-26,1.5124,0.23063
