Point ID,n,h,is_dynamic,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,0.0001,True,yes,6,2.5947e-15,3.2047e-31,1.9108,0.0071594
1,2,0.0001,True,yes,7,3.6195e-12,6.3298e-25,1.74,0.0076205
2,2,0.0001,True,yes,8,8.1974e-13,2.8834e-26,1.7962,0.0088202
3,2,0.0001,True,yes,6,3.2958e-10,4.6009e-21,1.8321,0.0066305
4,2,0.0001,True,yes,6,3.0962e-11,4.3665e-23,1.848,0.0065903
5,2,0.0001,True,yes,4,7.3808e-10,2.5591e-20,1.6502,0.0042708
0,2,0.0001,False,yes,6,2.5947e-15,3.2047e-31,1.9108,0.0064917
1,2,0.0001,False,yes,5,1.0326e-15,2.4652e-32,1.8042,0.0054826
2,2,0.0001,False,yes,8,1.7044e-14,1.3411e-29,1.801,0.0086429
3,2,0.0001,False,yes,6,1.7011e-10,1.3388e-21,1.9139,0.0066631
4,2,0.0001,False,yes,7,4.2751e-13,8.4163e-27,1.7628,0.0073729
5,2,0.0001,False,yes,7,4.5957e-14,9.0546e-29,1.7833,0.0075656
0,100,0.0001,True,yes,6,1.892e-14,4.425e-30,1.8211,0.0070453
1,100,0.0001,True,yes,10,2.7825e-14,7.6483e-30,1.6927,0.011575
2,100,0.0001,True,yes,9,5.0265e-14,9.2568e-29,1.7143,0.010385
3,100,0.0001,True,yes,10,2.1788e-14,5.6453e-30,1.7226,0.011515
4,100,0.0001,True,yes,7,2.207e-09,1.7975e-19,1.5822,0.0081282
5,100,0.0001,True,yes,9,3.8643e-09,5.1411e-19,1.6098,0.010308
0,100,0.0001,False,yes,6,1.892e-14,4.425e-30,1.8211,0.0068257
1,100,0.0001,False,yes,9,2.6075e-14,7.8208e-30,1.7359,0.010516
2,100,0.0001,False,yes,9,1.0267e-11,3.6388e-24,1.7086,0.010695
3,100,0.0001,False,yes,9,5.6942e-14,1.0104e-28,1.6682,0.010249
4,100,0.0001,False,yes,8,1.6354e-10,9.7945e-22,1.6434,0.0092245
5,100,0.0001,False,yes,8,5.6639e-14,1.194e-28,1.7099,0.0090926
0,1000,0.0001,True,yes,6,2.6701e-14,2.6612e-29,1.8161,0.010452
1,1000,0.0001,True,yes,13,4.6874e-14,6.8212e-29,1.6967,0.020709
2,1000,0.0001,True,yes,9,2.873e-12,2.8907e-25,1.613,0.014355
3,1000,0.0001,True,yes,11,3.1284e-14,9.4725e-30,1.7307,0.01895
4,1000,0.0001,True,yes,10,8.8859e-10,2.8027e-20,1.5661,0.016839
5,1000,0.0001,True,yes,12,2.3058e-14,5.8918e-30,1.6046,0.020352
0,1000,0.0001,False,yes,6,2.6701e-14,2.6612e-29,1.8161,0.010372
1,1000,0.0001,False,yes,11,2.5774e-14,7.0011e-30,1.6198,0.018557
2,1000,0.0001,False,yes,10,4.925e-09,9.5707e-19,1.5012,0.017324
3,1000,0.0001,False,yes,9,5.2141e-09,1.0308e-18,1.5256,0.015236
4,1000,0.0001,False,yes,9,3.5158e-11,4.8544e-23,1.5434,0.016387
5,1000,0.0001,False,yes,8,4.6048e-09,8.1713e-19,1.5582,0.013364
0,10000,0.0001,True,yes,6,6.529e-14,2.4848e-28,1.8311,0.03971
1,10000,0.0001,True,yes,10,2.0202e-12,1.6081e-25,1.5393,0.060056
2,10000,0.0001,True,yes,11,3.0627e-14,1.1845e-29,1.6247,0.068734
3,10000,0.0001,True,yes,11,1.9992e-13,1.464e-27,1.5701,0.06768
4,10000,0.0001,True,yes,10,1.7292e-13,1.0131e-27,1.5632,0.061013
5,10000,0.0001,True,yes,8,5.6213e-13,1.1528e-26,1.8137,0.048973
0,10000,0.0001,False,yes,6,6.529e-14,2.4848e-28,1.8311,0.036118
1,10000,0.0001,False,yes,11,8.0259e-14,1.9882e-28,1.6181,0.069719
2,10000,0.0001,False,yes,9,5.5768e-14,3.1949e-29,1.6154,0.054713
3,10000,0.0001,False,yes,10,4.8922e-14,2.6532e-29,1.6085,0.060539
4,10000,0.0001,False,yes,10,1.2278e-09,5.9624e-20,1.4715,0.066317
5,10000,0.0001,False,yes,10,6.7248e-14,5.3057e-29,1.6295,0.065225
0,100000,0.0001,True,yes,6,1.994e-13,2.4672e-27,1.8647,0.37072
1,100000,0.0001,True,yes,12,2.7744e-10,3.0261e-21,1.6408,0.69757
2,100000,0.0001,True,yes,11,8.5124e-09,2.8208e-18,1.5025,0.63216
3,100000,0.0001,True,yes,12,2.9139e-14,1.5463e-29,1.6513,0.65281
4,100000,0.0001,True,yes,11,5.9045e-13,1.3269e-26,1.4687,0.6193
