Point ID,n,h,is_dynamic,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,0.0001,True,yes,6,6.1514e-11,2.7248e-17,2.0989,0.0033188
1,2,0.0001,True,yes,7,1.2836e-15,2.7377e-17,3.5629,0.0018607
2,2,0.0001,True,yes,6,6.1558e-10,2.602e-17,61.893,0.0016128
3,2,0.0001,True,yes,7,4.4708e-12,2.7368e-17,2.2297,0.0017783
4,2,0.0001,True,yes,6,8.7259e-10,2.5483e-17,4.5462,0.0015558
5,2,0.0001,True,yes,7,4.8067e-09,1.8122e-17,1.8397,0.0020373
0,2,0.0001,False,yes,6,6.1597e-11,8.5544e-16,2.0989,0.0014994
1,2,0.0001,False,no,199,1.0899e-07,7.4204e-17,31.453,0.12423
2,2,0.0001,False,yes,6,2.1487e-09,8.3084e-16,3.7022,0.0016239
3,2,0.0001,False,no,199,4.5825e-08,3.8916e-16,2.5547,0.11399
4,2,0.0001,False,no,199,1.3412e-07,4.245e-17,1.2286,0.12312
5,2,0.0001,False,yes,6,2.2398e-10,8.5339e-16,2.5748,0.0015253
0,100,0.0001,True,yes,11,1.7562e-10,2.0615e-14,2.3504,0.0036892
1,100,0.0001,True,yes,13,7.5609e-09,2.0621e-14,2.9413,0.0044322
2,100,0.0001,True,yes,14,2.3226e-09,2.061e-14,3.0363,0.0047449
3,100,0.0001,True,yes,14,1.4963e-10,2.0614e-14,2.3936,0.0049118
4,100,0.0001,True,no,199,1.543e-07,2.0044e-14,1.5574,0.13344
5,100,0.0001,True,yes,13,2.0983e-10,2.0616e-14,2.4199,0.0044388
0,100,0.0001,False,no,199,3.6042e-07,8.1225e-14,1.6384,0.1177
1,100,0.0001,False,no,199,4.6653e-08,8.3105e-14,2.2922,0.12492
2,100,0.0001,False,yes,13,8.5652e-09,8.4054e-14,2.1549,0.0041387
3,100,0.0001,False,yes,13,7.54e-10,8.4164e-14,3.0037,0.0043167
4,100,0.0001,False,yes,14,2.9077e-10,8.4171e-14,2.0094,0.0045102
5,100,0.0001,False,no,199,3.0308e-08,8.3761e-14,3.136,0.12433
0,1000,0.0001,True,yes,12,3.9609e-11,2.117e-13,1.8506,0.0064413
1,1000,0.0001,True,yes,14,8.4607e-11,2.117e-13,1.6505,0.0078227
2,1000,0.0001,True,yes,15,1.0291e-09,2.1171e-13,3.031,0.0078103
3,1000,0.0001,True,yes,14,6.1294e-09,2.1171e-13,1.7945,0.0073686
4,1000,0.0001,True,yes,14,6.1463e-11,2.117e-13,1.6904,0.0082375
