Point ID,n,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,yes,6,6.1676e-11,1.6702e-22,2.0989,0.0035574
1,2,yes,7,2.9841e-10,3.9384e-21,1.8938,0.0042358
2,2,yes,7,8.3957e-10,3.1346e-20,2.0121,0.0039698
3,2,yes,7,5.5313e-14,1.4776e-28,7.774,0.0036557
4,2,yes,7,4.2792e-15,7.1491e-31,1.8932,0.0034212
5,2,yes,7,1.1865e-10,6.4424e-22,2.0383,0.0035488
0,100,yes,11,1.7562e-10,5.3146e-22,2.3504,0.0061883
1,100,yes,14,1.1034e-12,3.0685e-26,1.9115,0.0074422
2,100,yes,14,1.1651e-11,3.4708e-24,1.8348,0.0075522
3,100,yes,13,2.2719e-09,1.0011e-19,2.7429,0.0069614
4,100,yes,12,9.2948e-09,1.3436e-18,1.5071,0.0061927
5,100,yes,14,1.9186e-10,5.5252e-22,-0.93626,0.0077182
0,1000,yes,12,3.9626e-11,3.4938e-23,1.8506,0.0094265
1,1000,yes,14,1.9094e-09,7.443e-20,2.2674,0.010758
2,1000,yes,13,1.2674e-10,2.6771e-22,1.6186,0.010145
3,1000,yes,14,4.8491e-12,5.9132e-25,1.5274,0.010898
4,1000,yes,15,7.536e-09,1.229e-18,1.6184,0.011592
5,1000,yes,15,1.1174e-09,2.4932e-20,3.3162,0.011509
0,10000,yes,13,1.5922e-12,5.9182e-26,2.9319,0.0317
1,10000,yes,15,4.6705e-09,3.5335e-19,1.9261,0.035503
2,10000,yes,15,3.6227e-09,2.4928e-19,2.797,0.035345
3,10000,yes,15,6.0025e-11,7.0524e-23,2.0581,0.035909
4,10000,yes,15,5.6719e-11,6.2058e-23,2.1491,0.035345
5,10000,yes,15,6.2925e-11,7.591e-23,1.9238,0.036065
0,100000,yes,15,5.7311e-09,7.7484e-19,-1.1322,0.33583
1,100000,yes,17,8.4922e-10,1.1447e-20,2.2981,0.37343
2,100000,yes,16,1.332e-10,4.6616e-22,2.8833,0.34068
3,100000,yes,16,6.1086e-12,7.0934e-25,3.0315,0.33287
4,100000,yes,16,1.1848e-09,3.148e-20,2.7004,0.33048
5,100000,yes,16,6.2064e-12,8.1951e-25,3.001,0.3365
