Point ID,n,h,is_dynamic,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,0.0001,True,yes,6,6.1702e-11,1.6718e-22,2.0989,0.0074135
1,2,0.0001,True,yes,7,2.9846e-10,3.9401e-21,1.8938,0.0081023
2,2,0.0001,True,yes,7,8.3966e-10,3.1354e-20,2.0121,0.0074575
3,2,0.0001,True,yes,7,5.6938e-14,1.5632e-28,7.774,0.00793
4,2,0.0001,True,yes,7,4.2792e-15,7.1491e-31,1.8932,0.0080895
5,2,0.0001,True,yes,7,1.1869e-10,6.447e-22,2.0383,0.0078208
0,2,0.0001,False,yes,6,6.1835e-11,1.6795e-22,2.0989,0.0065312
1,2,0.0001,False,yes,6,4.382e-12,8.821e-25,15.801,0.0067386
2,2,0.0001,False,yes,5,9.4866e-13,4.3807e-26,2.8876,0.0056451
3,2,0.0001,False,yes,6,5.109e-09,1.2011e-18,1.8138,0.0067568
4,2,0.0001,False,yes,7,5.3759e-10,1.282e-20,1.9541,0.0079626
5,2,0.0001,False,yes,7,2.8259e-09,3.5199e-19,-12.505,0.0075272
0,100,0.0001,True,yes,11,1.7562e-10,5.3149e-22,2.3504,0.01297
1,100,0.0001,True,yes,14,3.2949e-12,2.2204e-25,2.522,0.016297
2,100,0.0001,True,yes,13,1.6058e-09,5.4561e-20,2.8028,0.014952
3,100,0.0001,True,yes,13,1.6475e-09,5.5542e-20,2.8108,0.014858
4,100,0.0001,True,yes,12,8.1206e-11,1.1858e-22,1.4777,0.013759
5,100,0.0001,True,yes,15,2.3152e-11,1.2221e-23,2.4348,0.01735
0,100,0.0001,False,yes,11,1.7562e-10,5.3146e-22,2.3504,0.012744
1,100,0.0001,False,yes,14,2.6496e-11,1.1162e-23,2.7309,0.016332
2,100,0.0001,False,yes,14,9.9981e-11,2.2827e-22,2.1357,0.016504
3,100,0.0001,False,yes,14,8.157e-13,1.3737e-26,2.762,0.016071
4,100,0.0001,False,yes,14,4.1852e-11,3.0765e-23,2.5611,0.016044
5,100,0.0001,False,yes,15,2.0018e-11,6.2049e-24,2.5344,0.01726
0,1000,0.0001,True,yes,12,3.9626e-11,3.4937e-23,1.8506,0.020212
1,1000,0.0001,True,yes,14,2.3875e-09,1.3398e-19,2.2493,0.022866
2,1000,0.0001,True,yes,13,1.3081e-10,2.7866e-22,1.5827,0.021252
3,1000,0.0001,True,yes,14,3.8958e-09,3.0411e-19,1.8648,0.023065
4,1000,0.0001,True,yes,15,9.3604e-13,1.6665e-26,2.9792,0.024889
5,1000,0.0001,True,yes,15,8.314e-10,1.1858e-20,2.8481,0.024543
0,1000,0.0001,False,yes,12,3.9628e-11,3.4943e-23,1.8506,0.019858
1,1000,0.0001,False,yes,15,1.1381e-11,2.7712e-24,2.0872,0.024518
2,1000,0.0001,False,yes,15,9.5234e-10,1.5101e-20,2.8976,0.024636
3,1000,0.0001,False,yes,14,7.994e-12,1.0542e-24,1.52,0.023094
4,1000,0.0001,False,yes,15,2.5781e-10,1.0633e-21,2.7734,0.024588
