n,h,is_dynamic,mean_k,mean_time,mean_grad_norm,mean_fx,mean_conv_rate,runs
2,1e-12,False,5.6667,0.001682,4.0102e-08,2.5058e-16,1.8643,6
2,1e-12,True,5.5,0.002023,4.0015e-08,2.0008e-16,1.828,6
2,1e-08,False,5.5,0.0025362,2.6855e-08,1.4626e-16,1.9271,6
2,1e-08,True,5.5,0.0026788,3.7015e-08,1.6878e-16,1.8347,6
2,0.0001,False,6.3333,0.0018426,4.9131e-08,5.305e-16,1.8315,6
2,0.0001,True,5.8333,0.002165,2.8416e-07,8.5502e-15,1.8337,6
1000,1e-12,False,8.5,0.0054787,8.6939e-08,7.3926e-16,1.6408,6
1000,1e-12,True,8.5,0.0058581,1.3861e-07,3.2266e-15,1.599,6
1000,1e-08,False,8.6667,0.0072105,2.1204e-07,6.5928e-15,1.539,6
1000,1e-08,True,8.5,0.0083107,9.1356e-08,8.8372e-16,1.5447,6
1000,0.0001,False,8.5,0.0073114,9.0797e-08,8.4792e-13,1.6382,6
1000,0.0001,True,9.1667,0.0080112,1.0859e-08,2.116e-13,1.5542,6
10000,1e-12,False,9.5,0.044729,1.6329e-08,3.3667e-17,1.5505,6
10000,1e-12,True,10.5,0.033081,1.141e-07,9.4457e-16,1.5876,6
10000,1e-08,False,9.1667,0.042864,5.9828e-08,3.6843e-16,1.6119,6
10000,1e-08,True,9.6667,0.040693,1.0047e-07,8.5286e-16,1.4735,6
10000,0.0001,False,10,0.046427,6.3928e-08,8.4911e-12,1.5201,6
10000,0.0001,True,10,0.049391,1.1e-08,2.1224e-12,1.5164,6
100000,1e-12,False,12.5,0.61057,9.9894e-08,4.7519e-16,1.6727,6
100000,1e-12,True,14.667,0.73279,1.9355e-08,1.2576e-16,1.5575,6
100000,1e-08,False,12.5,0.48633,5.3087e-08,5.484e-16,1.5225,6
100000,1e-08,True,12.5,0.55498,1.3327e-08,2.6882e-17,1.5368,6
100000,0.0001,False,12.5,0.56636,3.3196e-08,8.4925e-11,1.5861,6
100000,0.0001,True,12.167,0.57081,1.2127e-07,2.1231e-11,1.5472,6
