n,h,is_dynamic,mean_k,mean_time,mean_grad_norm,mean_fx,mean_conv_rate,runs
2,1e-12,False,6,0.0066462,1.042e-07,6.8801e-16,1.7753,6
2,1e-12,True,5.1667,0.0061188,1.8514e-07,5.4815e-15,1.8082,6
2,1e-08,False,5.8333,0.0064565,7.5684e-08,8.3623e-16,1.8881,6
2,1e-08,True,6.3333,0.0074753,3.9359e-08,1.991e-16,1.7639,6
2,0.0001,False,5.8333,0.0064897,1.9282e-07,3.9457e-15,1.8026,6
2,0.0001,True,6,0.0069854,2.2182e-08,1.4089e-16,1.7912,6
100,1e-12,False,8,0.0094655,1.3967e-07,2.1964e-15,1.6012,6
100,1e-12,True,7.5,0.0088445,1.3016e-07,2.4537e-15,1.6204,6
100,1e-08,False,7.6667,0.0090899,1.8436e-07,3.2903e-15,1.5777,6
100,1e-08,True,8,0.0094918,1.1253e-08,1.2858e-17,1.5847,6
100,0.0001,False,7.5,0.0088783,2.8134e-07,8.1594e-15,1.6313,6
100,0.0001,True,7.8333,0.0094806,1.5776e-07,4.1246e-15,1.6014,6
1000,1e-12,False,9.1667,0.016872,5.5736e-09,3.3414e-18,1.5697,6
1000,1e-12,True,9.1667,0.016071,6.1618e-09,3.5015e-18,1.5549,6
1000,1e-08,False,8.8333,0.015453,1.1296e-07,2.71e-15,1.6639,6
1000,1e-08,True,8.8333,0.01854,5.0386e-08,3.2075e-16,1.6136,6
1000,0.0001,False,8.5,0.015722,8.7637e-09,5.4867e-18,1.7198,6
1000,0.0001,True,9.5,0.01744,1.2471e-07,3.0537e-15,1.4965,6
10000,1e-12,False,9.3333,0.057947,4.4618e-09,3.007e-18,1.5601,6
10000,1e-12,True,9.5,0.057909,4.1668e-08,1.6915e-16,1.5472,6
10000,1e-08,False,8.8333,0.055685,1.932e-07,4.708e-15,1.5408,6
10000,1e-08,True,8.3333,0.050263,6.7638e-08,5.4255e-16,1.6243,6
10000,0.0001,False,8.5,0.053318,1.7368e-07,5.1895e-15,1.5428,6
10000,0.0001,True,9,0.057685,6.2369e-08,7.7776e-16,1.6194,6
100000,1e-12,False,9.1667,0.51356,1.5337e-08,3.8434e-17,1.5912,6
100000,1e-12,True,8.6667,0.47049,5.5047e-08,6.4525e-16,1.6298,6
100000,1e-08,False,8.8333,0.48506,1.4907e-07,4.186e-15,1.5957,6
100000,1e-08,True,10,0.54893,9.8619e-09,8.4794e-18,1.6186,6
100000,0.0001,False,9.5,0.5138,1.6962e-07,3.2767e-15,1.627,6
100000,0.0001,True,10.333,0.58449,7.4641e-08,1.1654e-15,1.6203,6
