n,h,is_dynamic,mean_k,mean_time,mean_grad_norm,mean_fx,mean_conv_rate,runs
2,1e-12,False,4,0.0003514,1.3878e-05,-1.4721,2.0277,6
2,1e-12,True,5.6667,0.0028655,5.9865e-05,-1.4721,1.9149,6
2,1e-08,False,4.6667,0.00045659,6.1721e-06,-1.4721,1.8013,6
2,1e-08,True,4.8333,0.00085644,2.2157e-06,-1.4721,1.4903,6
2,0.0001,False,4.3333,0.00037966,3.3189e-06,-1.4721,2.2992,6
2,0.0001,True,3.6667,0.0006228,2.6715e-05,-1.4721,1.6404,6
1000,1e-08,False,14.667,0.0028854,5.9163e-05,-427.4,1.8127,6
1000,0.0001,False,12.667,0.0025567,5.3466e-06,-427.4,1.9194,6
1000,0.0001,True,12.167,0.0024708,8.3063e-06,-427.4,1.7031,6
10000,0.0001,False,21.833,0.022521,1.5484e-05,-4159.9,1.4276,6
100000,0.0001,False,31.6,0.28151,2.2584e-05,-41444,1.0004,5
