n,h,is_dynamic,mean_k,mean_time,mean_grad_norm,mean_fx,mean_conv_rate,runs
2,1e-12,False,4.1667,0.00046778,8.7608e-06,-1.4721,2.0037,6
2,1e-12,True,4.6667,0.00062816,2.1366e-07,-1.4721,1.9372,6
2,1e-08,False,4.1667,0.00095934,1.3495e-05,-1.4721,1.9934,6
2,1e-08,True,4.3333,0.0011322,5.6923e-07,-1.4721,1.8872,6
2,0.0001,False,5,0.00071406,4.3364e-06,-1.4721,2.0688,6
2,0.0001,True,4,0.00059283,5.8464e-06,-1.4721,1.9285,6
1000,1e-12,False,11.333,0.0026334,2.2805e-05,-427.4,1.6572,6
1000,1e-12,True,13.5,0.0041103,5.8348e-07,-427.4,1.5143,6
1000,1e-08,False,13.333,0.0030696,5.5125e-07,-427.4,1.6013,6
1000,1e-08,True,13.667,0.0036761,2.8474e-06,-427.4,1.2198,6
1000,0.0001,False,12,0.0033262,2.5565e-05,-427.4,1.3855,6
1000,0.0001,True,12.167,0.0042043,2.1663e-05,-427.4,1.3113,6
10000,1e-12,False,20.5,0.02335,7.8127e-06,-4159.9,1.2967,6
10000,1e-12,True,22.333,0.030145,5.8145e-07,-4159.9,1.1454,6
10000,1e-08,False,19.667,0.02547,1.1407e-05,-4159.9,1.2961,6
10000,1e-08,True,21.333,0.03035,6.9731e-08,-4159.9,1.4499,6
10000,0.0001,False,22.833,0.024433,6.6393e-06,-4159.9,1.2987,6
10000,0.0001,True,20.5,0.024737,7.6865e-08,-4159.9,1.2908,6
100000,1e-12,False,28.833,0.25673,5.9034e-06,-41444,1.2102,6
100000,1e-12,True,29.5,0.22954,1.4842e-06,-41444,1.2099,6
100000,1e-08,False,31.5,0.33143,4.4354e-06,-41444,1.2008,6
100000,1e-08,True,30.167,0.29527,2.6542e-06,-41444,1.3135,6
100000,0.0001,False,28.667,0.27323,2.8899e-06,-41444,1.178,6
100000,0.0001,True,29.5,0.29852,8.7823e-06,-41444,1.2046,6
