n,h,is_dynamic,mean_k,mean_time,mean_grad_norm,mean_fx,mean_conv_rate,runs
2,1e-12,False,6.5,0.0020777,6.5931e-08,1.243e-15,1.7743,6
2,1e-12,True,6.1667,0.0019862,2.3926e-08,7.8792e-17,1.8678,6
2,1e-08,False,6.3333,0.0020603,1.0081e-07,1.7361e-15,1.9803,6
2,1e-08,True,6.1667,0.0021279,5.2564e-08,6.5038e-16,1.8054,6
2,0.0001,False,6.1667,0.0023965,1.4222e-09,8.3902e-16,1.7191,6
2,0.0001,True,6.5,0.0020338,1.3922e-07,3.4843e-15,1.8758,6
1000,1e-12,False,13,0.0088662,1.8784e-07,9.5259e-16,1.2356,6
1000,1e-12,True,12.833,0.0098358,7.601e-08,2.1391e-16,1.4215,6
1000,1e-08,False,14,0.0094069,4.7416e-08,1.1839e-16,1.3431,6
1000,1e-08,True,13.333,0.0097462,9.4959e-08,3.6144e-16,1.3669,6
1000,0.0001,False,13.667,0.010929,1.645e-07,8.5708e-13,1.3992,6
1000,0.0001,True,13.333,0.0097982,8.5092e-08,2.1324e-13,1.4007,6
10000,1e-12,False,14.167,0.093433,5.3849e-08,1.5672e-16,1.3195,6
10000,1e-12,True,14,0.067271,1.1446e-07,5.846e-16,1.3715,6
10000,1e-08,False,14,0.10596,7.6182e-08,2.4222e-16,1.3578,6
10000,1e-08,True,14.333,0.077226,6.1283e-08,1.6076e-16,1.3089,6
10000,0.0001,False,13.667,0.060656,1.0333e-07,8.491e-12,1.1285,3
10000,0.0001,True,14.333,0.045273,7.746e-08,2.1224e-12,1.2533,6
100000,1e-12,False,15,0.37833,1.0585e-07,4.5692e-16,1.2366,6
100000,1e-12,True,16,0.49829,1.9459e-07,1.8016e-15,1.359,6
100000,1e-08,False,15,0.46603,2.9632e-08,1.7158e-17,1.2023,6
100000,1e-08,True,15.167,0.48939,2.4992e-08,1.3948e-17,1.2681,6
100000,0.0001,False,15.8,0.46993,3.5393e-07,8.4889e-11,1.4813,5
100000,0.0001,True,15,0.56532,2.9907e-08,2.1231e-11,1.1345,4
