n,h,is_dynamic,mean_k,mean_time,mean_grad_norm,mean_fx,mean_conv_rate,runs
2,1e-12,False,6.5,0.012622,5.6978e-08,9.0483e-16,1.7762,6
2,1e-12,True,6.1667,0.012392,2.7001e-08,1.622e-16,1.869,6
2,1e-08,False,6.3333,0.012348,1.0081e-07,1.7361e-15,1.9803,6
2,1e-08,True,6.1667,0.01316,5.2565e-08,6.5041e-16,1.8054,6
2,0.0001,False,6.1667,0.01189,1.4227e-09,2.6084e-19,1.7191,6
2,0.0001,True,6.5,0.01278,1.3923e-07,3.7694e-15,1.8758,6
1000,1e-12,False,13,0.0468,1.8789e-07,9.5274e-16,1.236,6
1000,1e-12,True,12.833,0.042939,7.6076e-08,2.1492e-16,1.4213,6
1000,1e-08,False,14,0.041148,4.7416e-08,1.1839e-16,1.3431,6
1000,1e-08,True,13.333,0.040485,9.4959e-08,3.6144e-16,1.3669,6
1000,0.0001,False,13.667,0.037888,1.645e-07,1.622e-15,1.3992,6
1000,0.0001,True,13.333,0.035111,8.5092e-08,4.4065e-16,1.4007,6
10000,1e-12,False,14.167,0.2399,5.3882e-08,1.569e-16,1.3195,6
10000,1e-12,True,14,0.25546,9.7709e-08,2.7593e-16,1.3735,6
10000,1e-08,False,14,0.1545,7.6182e-08,2.4222e-16,1.3578,6
10000,1e-08,True,14.333,0.16547,6.1283e-08,1.6076e-16,1.3089,6
10000,0.0001,False,14.5,0.13792,5.2995e-08,1.3142e-16,1.3204,6
10000,0.0001,True,14.333,0.14018,7.746e-08,2.2294e-16,1.2533,6
100000,1e-12,False,15,1.9442,1.0583e-07,4.5656e-16,1.2364,6
100000,1e-12,True,15.333,1.7762,1.984e-08,1.1573e-17,1.2851,6
100000,1e-08,False,15,1.6345,2.9632e-08,1.7158e-17,1.2023,6
100000,1e-08,True,15.167,1.9944,2.4992e-08,1.3948e-17,1.2681,6
100000,0.0001,False,15.667,1.8315,1.9487e-07,1.9333e-15,1.4901,6
100000,0.0001,True,15.167,1.8014,2.1091e-08,1.0643e-17,1.2696,6
