n,h,is_dynamic,mean_k,mean_time,mean_grad_norm,mean_fx,mean_conv_rate,runs
2,1e-12,False,5.5,0.00062075,2.7756e-05,-1.4721,2.1622,6
2,1e-12,True,4.5,0.0032727,1.8455e-05,-1.4721,1.9164,6
2,1e-08,False,3.5,0.00043149,2.9414e-06,-1.4721,2.2425,6
2,1e-08,True,3.6667,0.002404,2.3447e-07,-1.4721,2.2445,6
2,0.0001,False,4.8333,0.0005152,3.9329e-06,-1.4721,2.2981,6
2,0.0001,True,3.8333,0.0015739,1.8832e-06,-1.4721,2.3577,6
1000,1e-08,False,20.667,0.0072266,6.0303e-05,-427.4,1.5149,6
1000,0.0001,False,19.833,0.0063419,2.6138e-05,-427.4,1.4132,6
1000,0.0001,True,21.167,0.0068805,2.7986e-05,-427.4,1.3815,6
10000,0.0001,False,26.333,0.058395,2.6745e-05,-4159.9,1.44,6
100000,0.0001,False,35,0.98826,5.3214e-05,-41444,1.1528,2
