n,h,is_dynamic,mean_k,mean_time,mean_grad_norm,mean_fx,mean_conv_rate,runs
2,1e-12,False,4.6667,0.0004669,3.778e-06,-1.4721,2.2977,6
2,1e-12,True,4.8333,0.00050367,6.8372e-06,-1.4721,2.1898,6
2,1e-08,False,3.6667,0.00051853,2.0706e-05,-1.4721,2.3661,6
2,1e-08,True,4.1667,0.00059105,1.1965e-06,-1.4721,2.1619,6
2,0.0001,False,4.5,0.0010466,5.0253e-09,-1.4721,2.4773,6
2,0.0001,True,4,0.00060483,1.7107e-06,-1.4721,2.3775,6
1000,1e-12,False,20.833,0.0074858,2.4052e-05,-427.4,1.3817,6
1000,1e-12,True,21,0.0078127,3.0275e-05,-427.4,1.4968,6
1000,1e-08,False,20.667,0.0093222,3.3507e-05,-427.4,1.471,6
1000,1e-08,True,21,0.0092628,1.1111e-05,-427.4,1.3484,6
1000,0.0001,False,21.5,0.011372,5.2219e-05,-427.4,1.0709,6
1000,0.0001,True,20.333,0.014001,2.8063e-05,-427.4,1.3095,6
10000,1e-12,False,25.833,0.052366,1.2824e-05,-4159.9,1.3896,6
10000,1e-12,True,26.5,0.051846,4.1511e-05,-4159.9,1.172,6
10000,1e-08,False,26.333,0.080798,3.3049e-05,-4159.9,1.4576,6
10000,1e-08,True,26.5,0.079828,1.3693e-05,-4159.9,1.342,6
10000,0.0001,False,29.667,0.078635,2.164e-05,-4159.9,1.6581,6
10000,0.0001,True,29,0.075742,3.0308e-05,-4159.9,1.7011,6
100000,1e-12,False,31.75,0.67157,5.4419e-05,-41444,1.3228,4
100000,1e-12,True,35.8,0.70399,6.7199e-05,-41444,1.3384,5
100000,1e-08,False,31.333,0.92272,4.5715e-05,-41444,1.4577,3
100000,1e-08,True,33,0.98174,5.0676e-05,-41444,1.4421,4
100000,0.0001,False,34,1.135,4.7341e-05,-41444,1.4268,5
100000,0.0001,True,34,1.1917,4.353e-05,-41444,1.4561,4
