Problem Size,Is h dynamic?,H value,Starting point,Final Norm of the gradient,Final mean convergence rate
2,True,0.0001,point 1,2.984634140405995e-10,1.5779930298486837
2,True,0.0001,point 2,8.396634314957458e-10,1.583973727137095
2,True,0.0001,point 3,5.693831302186609e-14,1.6202752028933307
2,True,0.0001,point 4,4.279162067564301e-15,1.5803057467905788
2,True,0.0001,point 5,1.1868711837753266e-10,1.5184963118651924
2,False,0.0001,point 1,2.0134462578235137e-13,1.5592922749865934
2,False,0.0001,point 2,3.497897432155258e-09,1.9069099405816354
2,False,0.0001,point 3,1.4541488680340455e-11,1.536922898389207
2,False,0.0001,point 4,3.0526086291765613e-15,1.6116823030460108
2,False,0.0001,point 5,3.5071733797999304e-09,1.5412935730842439
100,True,0.0001,point 1,1.121804576880038e-11,1.2005180818697487
100,True,0.0001,point 2,1.348308150104375e-12,1.2406127533445874
100,True,0.0001,point 3,3.692725084749521e-09,1.2101373893124372
100,True,0.0001,point 4,3.39721764199365e-11,1.2548501763423732
100,True,0.0001,point 5,1.0711179758447193e-11,2.388024345795231
100,False,0.0001,point 1,9.356238908304342e-09,3.7678363152881005
100,False,0.0001,point 2,3.6568359684782524e-09,1.2040149912681668
100,False,0.0001,point 3,6.532341015753028e-11,1.4790347616134654
100,False,0.0001,point 4,2.7666564615774257e-12,1.242506994760732
100,False,0.0001,point 5,1.39580668230779e-11,1.204668501946753
1000,True,0.0001,point 1,1.304267169254616e-10,1.2101606878390143
1000,True,0.0001,point 2,4.345026411793193e-09,1.195271381003027
1000,True,0.0001,point 3,4.530123950223578e-12,1.248116242815506
1000,True,0.0001,point 4,1.0030194874432562e-09,1.2032152266824645
1000,True,0.0001,point 5,1.2352650287564076e-11,1.2125442936338984
1000,False,0.0001,point 1,5.754286022895481e-09,1.2819945932057013
1000,False,0.0001,point 2,2.0208414189858083e-09,1.2141965688998435
1000,False,0.0001,point 3,3.206635274831603e-10,1.2517965314148713
1000,False,0.0001,point 4,3.2857388945414384e-09,0.4202041134221872
1000,False,0.0001,point 5,1.0383938150918198e-10,1.2094026185551467
10000,True,0.0001,point 1,6.349355928556606e-11,1.2195660089198601
10000,True,0.0001,point 2,5.431227900727308e-11,1.20863121261087
10000,True,0.0001,point 3,5.5652995312858584e-11,1.194165907973458
10000,True,0.0001,point 4,2.975290295745419e-09,1.1759053044326053
10000,True,0.0001,point 5,5.848574728152119e-11,1.2080188188732912
10000,False,0.0001,point 1,2.2815727254139023e-11,1.2152477667568091
10000,False,0.0001,point 2,1.196038156731169e-09,1.187636918072142
10000,False,0.0001,point 3,5.364347967496436e-11,1.2066421628160398
10000,False,0.0001,point 4,1.5207846910622411e-09,1.1830129188542216
10000,False,0.0001,point 5,1.7453981874157482e-09,1.185972816305042
100000,True,0.0001,point 1,1.7781101098265848e-12,1.2069775410512595
100000,True,0.0001,point 2,1.1195338416384127e-09,1.1663962436460253
100000,True,0.0001,point 3,6.739942985123646e-12,1.1961571584947994
100000,True,0.0001,point 4,2.714129085532559e-12,1.2055083817589614
100000,True,0.0001,point 5,1.5649666631172242e-10,1.2028082254207484
100000,False,0.0001,point 1,1.0843117707537753e-09,1.1653211656143094
100000,False,0.0001,point 2,6.100724046990046e-12,1.1992854315489252
100000,False,0.0001,point 3,5.640821855534704e-12,1.1994555188713176
100000,False,0.0001,point 4,5.3297548673596655e-12,1.1988095055418297
100000,False,0.0001,point 5,5.649232514504442e-12,1.1981776411007035
2,True,1e-08,point 1,1.8751165520293625e-09,1.8984031706026183
2,True,1e-08,point 2,5.7130359718434636e-11,1.5508266682718324
2,True,1e-08,point 3,8.140289677804168e-15,1.5773196095477895
2,True,1e-08,point 4,1.0325984736447207e-15,1.842147677294787
2,True,1e-08,point 5,3.563878048991332e-12,1.6152891210285891
2,False,1e-08,point 1,2.594655395144756e-15,1.8376789660662936
2,False,1e-08,point 2,2.3146584337140994e-15,1.6723233306309986
2,False,1e-08,point 3,1.4441069110828414e-13,1.7635447856647484
2,False,1e-08,point 4,9.624298884079326e-09,1.616024471044402
2,False,1e-08,point 5,5.97197100219019e-14,1.604620270368991
100,True,1e-08,point 1,7.432766407509949e-10,14.116394197703706
100,True,1e-08,point 2,8.668163085857982e-11,1.198830558779663
100,True,1e-08,point 3,9.191884040265553e-11,1.2250195447674008
100,True,1e-08,point 4,3.392287064740612e-09,1.2082372077582706
100,True,1e-08,point 5,1.1042019845695202e-12,1.2559454473814513
